,Player,Tm,G,Pos,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,PTS_VAR,TRB_VAR,AST_VAR,STL_VAR,BLK_VAR,FG%_VAR,3P%_VAR,FT%_VAR,TOT_VAR
0,Aaron Gordon,DEN,73,PF,21.9,10.2,5.6,1.2,1.0,0.556,0.29,0.658,0.0,0.31,0.71,-0.25,0.0,1.49,-1.11,-0.97,4.84
1,Aaron Holiday,HOU,78,PG,19.6,4.7,5.4,1.6,0.2,0.446,0.387,0.921,-0.34,-0.73,-1.12,0.19,-0.76,-0.1,0.46,1.13,4.83
2,Aaron Nesmith,IND,72,SF,20.7,6.5,2.6,1.5,1.2,0.496,0.419,0.781,0.23,-0.3,-0.61,0.2,1.02,1.11,1.16,-0.14,4.77
3,Aaron Wiggins,OKC,78,SG,21.2,7.3,3.4,2.2,0.7,0.562,0.492,0.789,-0.18,0.66,-0.71,1.49,0.0,3.08,2.46,-0.09,8.67
4,Al Horford,BOS,65,C,16.0,11.7,4.8,1.1,1.8,0.511,0.419,0.867,-0.96,-0.89,0.33,-0.39,0.0,-0.78,0.43,1.56,5.34
5,Alec Burks,TOT,66,SG,27.7,6.0,3.5,1.1,0.5,0.369,0.376,0.868,0.86,-0.05,-0.66,-0.85,-0.48,-2.43,0.06,1.0,6.39
6,Alex Caruso,CHI,71,SG,17.5,6.7,6.0,2.9,1.7,0.468,0.408,0.76,-0.78,0.33,0.48,2.99,2.4,0.4,0.72,-0.49,8.59
7,Alperen Sengun,HOU,63,C,31.6,14.0,7.4,1.8,1.1,0.537,0.297,0.693,1.57,-0.23,1.42,0.97,-0.6,-0.44,-0.13,-0.61,5.97
8,Amen Thompson,HOU,62,SF,20.7,14.3,5.7,2.7,1.3,0.536,0.138,0.684,0.23,3.0,1.37,2.61,1.23,2.16,-4.06,-1.3,15.96
9,Amir Coffey,LAC,70,SF,15.7,5.0,2.6,1.4,0.5,0.472,0.38,0.859,-0.63,-0.93,-0.61,0.0,-0.41,0.48,0.44,0.79,4.29
10,Andre Drummond,CHI,79,C,24.5,26.1,1.4,2.7,1.8,0.556,0.0,0.592,0.42,3.24,-1.08,2.71,0.0,-0.19,-1.48,-1.87,10.99
11,Andrew Nembhard,IND,68,PG,17.4,3.9,7.8,1.8,0.2,0.498,0.357,0.804,-0.62,-1.18,-0.18,0.57,-0.76,1.38,-0.35,-0.4,5.44
12,Andrew Wiggins,GSW,71,SF,23.7,8.1,3.0,1.1,1.0,0.453,0.358,0.751,0.76,0.38,-0.35,-0.6,0.61,-0.01,0.03,-0.5,3.24
13,Anthony Black,ORL,69,PG,13.4,5.9,3.9,1.5,0.9,0.466,0.394,0.613,-1.12,-0.06,-1.71,0.0,1.37,0.47,0.65,-2.89,8.27
14,Anthony Davis,LAL,76,C,33.0,16.9,4.7,1.6,3.1,0.556,0.271,0.816,1.8,0.6,0.29,0.58,1.11,-0.19,-0.25,0.92,5.74
15,Anthony Edwards,MIN,79,SG,36.6,7.7,7.2,1.8,0.7,0.461,0.357,0.836,2.29,0.87,1.03,0.64,0.0,0.2,-0.33,0.56,5.92
16,Ausar Thompson,DET,63,SF,16.9,12.2,3.6,2.1,1.8,0.483,0.186,0.597,-0.43,2.11,0.03,1.41,2.25,0.77,-3.17,-2.34,12.51
